University Name,Number Of Reportees,Number Of Acceptances And Rejections Reported,Acceptance Rate,Number Reporting GRE and  GPA,Undergraduate GPA (25 percentile),Undergraduate GPA 50 percentile),Undergraduate GPA (75 percentile),GRE Verbal (25th Percentile),GRE Verbal (50th Percentile),GRE Verbal (75th Percentile),GRE Quant (25th Percentile),GRE Quant (50th Percentile),GRE Quant (75th Percentile)
University Of South Carolina,539,401,0.693266833,72,3.435,3.7,3.875,151,157,161.5,154,159,165.5
Tufts University,534,363,0.457300275,94,3.5,3.6,3.73,151,157,165,158,161,164
Iowa State University (ISU),487,408,0.583333333,101,3.43,3.645,3.9,150.75,155.5,160,161,164,168
Brandeis University,485,339,0.421828909,48,3.64,3.81,3.9,155.5,160,161,156.5,163,164
University Of Kentucky,474,352,0.602272727,85,3.455,3.7,3.81,153,158,163.5,155,158,164.5
Case Western Reserve University (CWRU),463,324,0.481481481,73,3.46,3.565,3.8425,153.25,156,164.25,153.5,163.5,168
George Mason University (GMU),455,380,0.634210526,79,3.49,3.73,3.895,157.5,161,164,158,162,166
University Of Houston,453,313,0.61341853,68,3.47,3.64,3.9,152,159,161,161,163,166
"University of Texas, Austin (UT Austin)",434,339,0.480825959,101,3.62,3.77,3.91,156.5,161,166.5,158,163,168.5
Fordham University,432,301,0.511627907,39,3.6975,3.895,3.965,161.75,163.5,168,155,157.5,162
Virginia Tech,432,356,0.646067416,89,3.4,3.66,3.765,151.5,154,159.5,157,163,168
Georgia State University (GSU),424,317,0.624605678,52,3.635,3.75,3.9,153.5,160,164,152,159,165.5
Louisiana State University,424,278,0.748201439,67,3.225,3.58,3.865,152.5,157,161.5,152,161,167
Drexel University,420,279,0.516129032,71,3.405,3.565,3.795,152,157.5,161.75,160,164.5,167
University Of Central Florida (UCF),410,309,0.757281553,101,3.4,3.61,3.8,147,152,159,160,163,166
SUNY Albany,395,281,0.68683274,45,3.405,3.63,3.87,151.5,157,166.5,153.5,158,163
University Of Miami,389,270,0.577777778,46,3.4,3.55,3.73,155,160,165.75,157,159.5,164.5
Oregon State University,366,295,0.562711864,89,3.355,3.56,3.8575,149,156,162.5,159,161.5,165.25
University Of South Florida (USF),365,271,0.57195572,54,3.525,3.705,3.945,154,158.5,161.75,151.25,158.5,161.75
Dartmouth College,352,243,0.366255144,43,3.2,3.65,3.82,156,160,161,162,164,168
"Ohio State University, Columbus (OSU)",343,293,0.651877133,80,3.625,3.79,3.91,159,162,166.5,159.5,165,168
"University Of Missouri, Columbia",335,244,0.635245902,30,3.3,3.79,3.9,151.25,160.5,164,156.75,161,165.75
Colorado State University (CSU),332,260,0.542307692,75,3.4,3.69,3.885,153,157,162,157,162,166
Clemson University,326,279,0.691756272,81,3.38,3.6,3.89,151,155,159.5,158,163,166.5
University Of Cincinnati,321,216,0.569444444,41,3.35,3.6,3.87,145,158,163,154,160,164
"University Of Tennessee, Knoxville",317,215,0.720930233,39,3.3075,3.6,3.775,154,159,161.75,156.5,161,166.25
Washington State University (WSU),304,228,0.706140351,49,3.43,3.6,3.835,150.5,156,162,155.5,160,163.5
SUNY Binghamton,302,241,0.7593361,58,3.5275,3.8,3.915,153.75,159.5,164.25,152,157.5,163.25
University Of Missouri,302,197,0.532994924,47,3.6,3.72,3.925,156,160,162.5,153.5,156,160
Tulane University,299,217,0.529953917,49,3.5,3.79,3.875,153.5,159,163.25,154.5,159,163.75
University Of New Mexico,296,249,0.686746988,45,3.3875,3.6,3.8,152.5,158.5,161.5,155.75,161,164.25
Lehigh University,290,210,0.60952381,52,3.35,3.72,3.875,151.5,154,161,160.5,164,165.5
American University,279,216,0.592592593,32,3.6,3.73,3.8,159,162,164,155,159,161.5
University Of Waterloo,265,218,0.490825688,30,3.7125,3.805,3.9375,152.75,158,164.75,152.5,166.5,169.5
Baylor College Of Medicine,263,141,0.524822695,55,3.58,3.7,3.7875,156.5,159,163,159.75,163,168
Baylor University,243,127,0.488188976,44,3.61,3.8,3.995,161.5,165,168,154.5,160,162.5
Texas A&M University (TAMU),239,193,0.668393782,67,3.6,3.7,3.88,155,159,164,157,163,166
Wayne State University,223,178,0.617977528,40,3.5,3.62,3.9,149,157,162,156,162,163
"University Of Maryland, Baltimore County (UMBC)",219,133,0.684210526,40,3.3,3.55,3.7,150,155,162,161,163,166
University Of Oklahoma,213,166,0.78313253,34,3.62,3.825,3.96,154,159,161,154.75,159,165.5
Auburn University,209,140,0.65,32,3.28,3.4,3.7,151,160,162,157,161,164
West Virginia University,203,122,0.696721311,38,3.5,3.77,3.86,153,157,159,152,157,162
Oklahoma State University,197,134,0.597014925,33,3.2425,3.495,3.86,152,155,161,158.25,161.5,164
Scripps Institute,191,98,0.520408163,40,3.6025,3.7,3.84,157,161.5,166.5,165,166,167.75
University Of Tennessee,185,122,0.647540984,47,3.365,3.5,3.69,150,155,157,158,161,162.5
Icahn School Of Medicine At Mount Sinai,183,105,0.485714286,35,3.5,3.55,3.8,160,163,165,159,161,164
Colorado School Of Mines (CSM),161,132,0.515151515,45,3.485,3.68,3.81,154,157,161.5,156.5,161,165.5
"University Of Colorado, Denver",150,79,0.64556962,34,3.54,3.68,3.765,158,161,164.5,161,162,166.5
Rockefeller University,146,120,0.291666667,35,3.74,3.85,3.97,155,165,169,161,163,165.5
University Of Texas Southwestern,107,62,0.5,35,3.4,3.55,3.7,151.5,155,159.5,156,160,161.5
